# Modularity: 0.721650
# Modularity (with diagonal): 0.717021
Label                         	Module	Connectivity	Participation	Role
246                           	18	-0.325380	0.218750	R2
243                           	18	-0.325380	0.218750	R2
60                            	15	0.222341	0.292346	R2
240                           	18	-0.325380	0.218750	R2
242                           	18	-0.325380	0.218750	R2
241                           	18	-0.325380	0.218750	R2
239                           	18	-0.325380	0.218750	R2
244                           	18	-0.325380	0.218750	R2
245                           	18	-0.325380	0.218750	R2
75                            	15	0.222341	0.000000	R1
27                            	15	0.222341	0.508328	R2
78                            	15	0.222341	0.000000	R1
61                            	15	0.222341	0.000000	R1
65                            	15	0.222341	0.000000	R1
77                            	15	0.222341	0.000000	R1
71                            	15	0.222341	0.000000	R1
69                            	15	0.222341	0.000000	R1
83                            	15	0.222341	0.000000	R1
4                             	15	0.222341	0.508328	R2
49                            	15	0.222341	0.472778	R2
48                            	15	0.222341	0.000000	R1
72                            	15	0.222341	0.000000	R1
55                            	15	0.222341	0.000000	R1
74                            	15	0.222341	0.000000	R1
82                            	15	0.222341	0.000000	R1
66                            	15	0.483919	0.433036	R2
76                            	15	0.222341	0.369846	R2
52                            	15	0.222341	0.000000	R1
79                            	15	0.222341	0.000000	R1
80                            	15	0.222341	0.000000	R1
68                            	15	0.222341	0.000000	R1
53                            	15	0.222341	0.000000	R1
70                            	15	0.222341	0.000000	R1
62                            	15	0.222341	0.000000	R1
51                            	15	0.222341	0.000000	R1
73                            	15	0.222341	0.000000	R1
54                            	15	0.222341	0.000000	R1
59                            	15	0.222341	0.000000	R1
81                            	15	0.222341	0.000000	R1
63                            	15	0.222341	0.000000	R1
58                            	15	0.222341	0.000000	R1
64                            	15	0.222341	0.000000	R1
57                            	15	0.222341	0.000000	R1
67                            	15	0.222341	0.000000	R1
56                            	15	0.222341	0.000000	R1
50                            	15	0.222341	0.000000	R1
398                           	17	0.000000	0.000000	R1
399                           	17	0.000000	0.000000	R1
300                           	8	-0.577350	0.000000	R1
310                           	8	-0.577350	0.000000	R1
273                           	8	3.464102	0.000000	R5
305                           	8	-0.577350	0.000000	R1
304                           	8	-0.577350	0.000000	R1
302                           	8	-0.577350	0.000000	R1
299                           	8	-0.577350	0.000000	R1
32                            	13	0.346278	0.123819	R2
11                            	13	0.346278	0.123819	R2
30                            	13	0.346278	0.500378	R2
18                            	13	0.738727	0.112265	R2
16                            	13	0.346278	0.123819	R2
44                            	13	0.346278	0.123819	R2
36                            	13	0.346278	0.123819	R2
20                            	13	0.346278	0.123819	R2
2                             	13	0.346278	0.123819	R2
22                            	13	0.346278	0.280661	R2
21                            	13	0.346278	0.418845	R2
34                            	13	0.346278	0.412435	R2
29                            	13	0.738727	0.112265	R2
6                             	13	0.346278	0.123819	R2
3                             	13	0.346278	0.123819	R2
45                            	13	0.346278	0.123819	R2
42                            	13	0.346278	0.123819	R2
13                            	13	0.346278	0.123819	R2
5                             	13	0.346278	0.123819	R2
35                            	13	0.346278	0.123819	R2
26                            	13	0.346278	0.123819	R2
25                            	13	0.738727	0.112265	R2
12                            	13	0.346278	0.123819	R2
15                            	13	0.346278	0.123819	R2
8                             	13	0.738727	0.340556	R2
47                            	13	0.503258	0.118924	R2
23                            	13	0.738727	0.112265	R2
39                            	13	0.346278	0.123819	R2
24                            	13	0.346278	0.123819	R2
38                            	13	0.346278	0.123819	R2
28                            	13	0.346278	0.123819	R2
10                            	13	0.346278	0.123819	R2
14                            	13	0.346278	0.476067	R2
41                            	13	0.346278	0.123819	R2
43                            	1	1.433409	0.633045	R3
19                            	13	0.346278	0.123819	R2
9                             	13	0.346278	0.123819	R2
31                            	13	0.346278	0.123819	R2
40                            	13	0.346278	0.123819	R2
37                            	13	0.346278	0.467120	R2
7                             	13	0.346278	0.123819	R2
46                            	13	0.346278	0.123819	R2
17                            	13	0.346278	0.123819	R2
33                            	13	0.346278	0.123819	R2
1                             	13	0.346278	0.123819	R2
252                           	18	-0.069020	0.000000	R1
255                           	18	2.238219	0.104938	R2
251                           	18	-0.069020	0.000000	R1
249                           	18	-0.069020	0.000000	R1
168                           	18	6.083618	0.161633	R5
250                           	18	-0.069020	0.000000	R1
254                           	18	-0.069020	0.000000	R1
253                           	18	-0.069020	0.000000	R1
248                           	18	-0.069020	0.000000	R1
402                           	18	-1.863539	0.000000	R1
283                           	3	2.154736	0.000000	R1
281                           	3	0.397476	0.000000	R1
401                           	3	-1.359785	0.000000	R1
282                           	3	0.690352	0.000000	R1
396                           	3	-1.066908	0.000000	R1
291                           	3	0.397476	0.000000	R1
386                           	3	-1.066908	0.000000	R1
280                           	3	0.397476	0.000000	R1
290                           	3	0.397476	0.000000	R1
279                           	3	0.397476	0.000000	R1
395                           	3	-1.066908	0.000000	R1
400                           	3	-1.359785	0.000000	R1
387                           	3	-1.066908	0.000000	R1
278                           	3	2.447613	0.000000	R1
359                           	5	0.000000	0.000000	R1
353                           	5	0.000000	0.000000	R1
354                           	5	0.000000	0.000000	R1
358                           	5	0.000000	0.000000	R1
392                           	19	-1.535589	0.000000	R1
385                           	19	-1.317137	0.000000	R1
391                           	19	-1.535589	0.444444	R2
317                           	18	-1.094460	0.320000	R2
170                           	18	1.469139	0.226562	R2
319                           	18	-1.094460	0.320000	R2
176                           	18	1.981859	0.394558	R2
320                           	18	-1.094460	0.320000	R2
148                           	14	-0.598406	0.000000	R1
147                           	14	-0.598406	0.000000	R1
143                           	14	-0.598406	0.000000	R1
124                           	14	2.593094	0.283419	R5
144                           	14	-0.598406	0.000000	R1
112                           	14	2.593094	0.000000	R5
