,Source,Target
0,61,49
1,61,47
2,61,43
3,61,33
4,61,18
5,61,13
6,61,46
7,74,16
8,74,42
9,74,38
10,74,31
11,74,40
12,74,35
13,74,29
14,74,60
15,15,66
16,15,6
17,15,68
18,15,64
19,51,54
20,48,1
21,48,27
22,55,23
23,55,21
24,55,25
25,55,52
26,55,39
27,55,22
28,55,57
29,55,28
30,55,8
31,55,30
32,36,4
33,36,68
34,36,76
35,36,64
36,41,21
37,41,20
38,41,73
39,41,71
40,41,7
41,41,5
42,65,50
43,65,2
44,65,7
45,14,72
46,49,61
47,49,77
48,49,24
49,49,70
50,49,26
51,49,47
52,49,43
53,49,33
54,49,18
55,49,13
56,49,34
57,49,7
58,49,10
59,49,46
60,49,62
61,16,74
62,16,42
63,16,38
64,16,31
65,16,40
66,16,35
67,16,29
68,16,60
69,23,55
70,23,21
71,23,25
72,23,52
73,23,39
74,23,22
75,23,57
76,23,28
77,23,8
78,23,30
79,66,15
80,66,6
81,66,68
82,66,64
83,77,49
84,77,24
85,77,70
86,77,26
87,77,34
88,77,7
89,77,10
90,77,62
91,24,49
92,24,77
93,24,70
94,24,26
95,24,34
96,24,7
97,24,10
98,24,62
99,19,12
100,19,63
101,19,52
102,19,75
103,70,49
104,70,77
105,70,24
106,70,26
107,70,34
108,70,7
109,70,10
110,70,62
111,21,55
112,21,41
113,21,23
114,21,20
115,21,25
116,21,73
117,21,71
118,21,52
119,21,39
120,21,7
121,21,22
122,21,5
123,21,57
124,21,28
125,21,8
126,21,30
127,4,36
128,4,68
129,4,76
130,4,64
131,50,65
132,50,2
133,50,7
134,9,32
135,9,45
136,26,49
137,26,77
138,26,24
139,26,70
140,26,34
141,26,7
142,26,10
143,26,62
144,12,19
145,12,63
146,12,52
147,12,75
148,47,61
149,47,49
150,47,43
151,47,33
152,47,18
153,47,13
154,47,46
155,20,41
156,20,21
157,20,73
158,20,71
159,20,7
160,20,5
161,59,44
162,59,69
163,59,78
164,56,79
165,56,17
166,1,48
167,1,27
168,79,56
169,79,17
170,44,59
171,44,69
172,44,78
173,63,19
174,63,12
175,63,52
176,63,75
177,25,55
178,25,23
179,25,21
180,25,52
181,25,39
182,25,22
183,25,57
184,25,28
185,25,8
186,25,30
187,43,61
188,43,49
189,43,47
190,43,33
191,43,18
192,43,13
193,43,46
194,6,15
195,6,66
196,6,68
197,6,64
198,67,27
199,27,48
200,27,1
201,27,67
202,69,59
203,69,44
204,69,78
205,2,65
206,2,50
207,2,7
208,42,74
209,42,16
210,42,38
211,42,31
212,42,40
213,42,35
214,42,29
215,42,60
216,11,37
217,11,53
218,11,58
219,73,41
220,73,21
221,73,20
222,73,71
223,73,7
224,73,5
225,37,11
226,37,53
227,37,58
228,32,9
229,32,45
230,68,15
231,68,36
232,68,66
233,68,4
234,68,6
235,68,76
236,68,64
237,71,41
238,71,21
239,71,20
240,71,73
241,71,7
242,71,5
243,52,55
244,52,23
245,52,19
246,52,21
247,52,12
248,52,63
249,52,25
250,52,75
251,52,39
252,52,22
253,52,57
254,52,28
255,52,8
256,52,30
257,33,61
258,33,49
259,33,47
260,33,43
261,33,18
262,33,13
263,33,46
264,18,61
265,18,49
266,18,47
267,18,43
268,18,33
269,18,13
270,18,46
271,38,74
272,38,16
273,38,42
274,38,31
275,38,40
276,38,35
277,38,29
278,38,60
279,17,56
280,17,79
281,75,19
282,75,12
283,75,63
284,75,52
285,13,61
286,13,49
287,13,47
288,13,43
289,13,33
290,13,18
291,13,46
292,53,11
293,53,37
294,53,58
295,31,74
296,31,16
297,31,42
298,31,38
299,31,40
300,31,35
301,31,29
302,31,60
303,40,74
304,40,16
305,40,42
306,40,38
307,40,31
308,40,35
309,40,29
310,40,60
311,58,11
312,58,37
313,58,53
314,34,49
315,34,77
316,34,24
317,34,70
318,34,26
319,34,7
320,34,10
321,34,62
322,39,55
323,39,23
324,39,21
325,39,25
326,39,52
327,39,22
328,39,57
329,39,28
330,39,8
331,39,30
332,7,41
333,7,65
334,7,49
335,7,77
336,7,24
337,7,70
338,7,21
339,7,50
340,7,26
341,7,20
342,7,2
343,7,73
344,7,71
345,7,34
346,7,5
347,7,10
348,7,3
349,7,62
350,76,36
351,76,4
352,76,68
353,76,64
354,22,55
355,22,23
356,22,21
357,22,25
358,22,52
359,22,39
360,22,57
361,22,28
362,22,8
363,22,30
364,5,41
365,5,21
366,5,20
367,5,73
368,5,71
369,5,7
370,78,59
371,78,44
372,78,69
373,64,15
374,64,36
375,64,66
376,64,4
377,64,6
378,64,68
379,64,76
380,57,55
381,57,23
382,57,21
383,57,25
384,57,52
385,57,39
386,57,22
387,57,28
388,57,8
389,57,30
390,10,49
391,10,77
392,10,24
393,10,70
394,10,26
395,10,34
396,10,7
397,10,62
398,35,74
399,35,16
400,35,42
401,35,38
402,35,31
403,35,40
404,35,29
405,35,60
406,28,55
407,28,23
408,28,21
409,28,25
410,28,52
411,28,39
412,28,22
413,28,57
414,28,8
415,28,30
416,72,14
417,45,9
418,45,32
419,3,7
420,29,74
421,29,16
422,29,42
423,29,38
424,29,31
425,29,40
426,29,35
427,29,60
428,46,61
429,46,49
430,46,47
431,46,43
432,46,33
433,46,18
434,46,13
435,62,49
436,62,77
437,62,24
438,62,70
439,62,26
440,62,34
441,62,7
442,62,10
443,8,55
444,8,23
445,8,21
446,8,25
447,8,52
448,8,39
449,8,22
450,8,57
451,8,28
452,8,30
453,60,74
454,60,16
455,60,42
456,60,38
457,60,31
458,60,40
459,60,35
460,60,29
461,30,55
462,30,23
463,30,21
464,30,25
465,30,52
466,30,39
