,scandal,year,size
0,Caso Banespa,1987,4
1,Ferrovia Norte-Sul,1987,2
2,CPI da Corrupção,1988,3
3,Máfia da Previdência,1991,3
4,Caso Collor,1992,11
5,Anões do Orçamento,1993,4
6,Paubrasil,1993,4
7,Escândalo da Parabólica,1994,2
8,Pasta rosa,1995,2
9,Escândalo das privatizações,1997,5
10,Compra de votos para a reeleição,1997,9
11,Frangogate,1997,2
12,Precatórios,1997,9
13,Máfia dos fiscais,1998,8
14,Grampos do BNDES,1998,5
15,Dossiê Cayman,1998,7
16,Desvios de Verbas do TRT-SP,1999,5
17,Caso Marka/FonteCindam,1999,3
18,Garotinho e a turma do Chuvisco,2000,7
19,Sudam,2001,8
20,Violação do painel do Senado,2001,5
21,Caso Lunus,2002,2
22,Bunker petista,2002,6
23,Caso Celso Daniel,2002,10
24,CPI do Banestado,2003,14
25,Operação Anaconda,2003,10
26,Caso GTech,2004,5
27,Banpará,2004,7
28,Caso Waldomiro Diniz,2004,4
29,Superfaturamento de obras em SP,2004,2
30,República de Ribeirão,2005,4
31,Corrupção nos Correios,2005,9
32,Valerioduto mineiro,2005,10
33,Dólares na cueca,2005,3
34,Escândalo do Mensalão,2005,47
35,Escândalo dos sanguessugas,2006,38
36,Quebra de sigilo do caseiro Francenildo,2006,4
37,Aloprados,2006,13
38,Renangate Golpe no INSS,2007,2
39,Cheque da Gol,2007,3
40,Renangate Caso do laranjal alagoano,2007,3
41,Renangate Caso Schincariol,2007,2
42,Renangate Caso Mônica Veloso,2007,3
43,Dossiê contra FHC e Ruth Cardoso,2008,2
44,Caso Satiagraha,2008,8
45,Paulinho da Força e o BNDES,2008,4
46,Cartões corporativos,2008,3
47,Caso Lina Vieira,2009,5
48,Atos Secretos,2009,8
49,Mensalão do DEM,2009,24
50,Caso Erenice,2010,8
51,Bancoop,2010,7
52,Os novos aloprados,2010,6
53,Escândalo na Agricultura,2011,4
54,Escândalo no Esporte,2011,3
55,Escândalo nos Transportes,2011,4
56,Escândalo no Trabalho,2011,3
57,Escândalo em Cidades,2011,3
58,Escândalo no Turismo,2011,5
59,Operação Porto Seguro,2012,11
60,Caso Cachoeira,2012,19
61,Escândalo a Pesca,2012,2
62,Escândalo na Pesca,2012,2
63,Máfia do ISS,2013,12
64,Petrolão,2014,17
65,Operação Lava Jato,2014,21
